,AUC,AUC_std,F1,Precision,Recall,Accuracy
Logistic Regression,0.7297784578584494,0.028433119752504694,0.3894616027006796,0.2744316846529439,0.6718446601941748,0.6792593654558804
Random Forest,0.7070919398714881,0.031768880685885396,0.3422455587076211,0.3142017805220556,0.3766990291262136,0.7794852746317028
SVM,0.7046934184606726,0.028941256144625508,0.3756415154429479,0.2726153680463647,0.6058252427184466,0.6942914489032544
Gradient Boosting,0.7012081457248722,0.028088987665557567,0.18260753200288085,0.43862864993299777,0.11650485436893203,0.8428688727566568
XGBoost,0.6984198091083907,0.023086092863973083,0.3515514493649888,0.2806906633577073,0.4718446601941747,0.7355572353930169
Decision Tree,0.6566301416443882,0.03916177463831077,0.3424064062090451,0.24051336818108746,0.6,0.6527206850261316
